Frequency      Power          Speed          Perf Ratio  Efficiency

 633600 kHz	   1828.5 mW	 135816887 μs	 1.000 x	 1828.5 mW/perf
 902400 kHz	   1909.5 mW	  95315033 μs	 1.425 x	 1340.1 mW/perf
1113600 kHz	   1961.5 mW	  77227095 μs	 1.759 x	 1115.3 mW/perf
1401600 kHz	   2055.0 mW	  61345365 μs	 2.214 x	 928.2 mW/perf
1536000 kHz	   2111.5 mW	  55975307 μs	 2.426 x	 870.2 mW/perf
1747200 kHz	   2222.5 mW	  49206290 μs	 2.760 x	 805.2 mW/perf
1843200 kHz	   2266.0 mW	  46641437 μs	 2.912 x	 778.2 mW/perf
